M & N & K & L & Baseline(ms) & Overlapped(ms) & Speedup
128 & 128 & 128 & 128 & 0.074976 & 0.071160 & 1.0536256323777402
256 & 128 & 128 & 128 & 0.074348 & 0.071130 & 1.0452411078307324
384 & 128 & 128 & 128 & 0.078198 & 0.085510 & 0.9144895333879078
512 & 128 & 128 & 128 & 0.074358 & 0.070610 & 1.053080300240759
640 & 128 & 128 & 128 & 0.077998 & 0.070650 & 1.104005661712668
768 & 128 & 128 & 128 & 0.074148 & 0.070500 & 1.051744680851064
896 & 128 & 128 & 128 & 0.074276 & 0.071060 & 1.0452575288488601
1024 & 128 & 128 & 128 & 0.074455 & 0.077020 & 0.9666969618280965
1152 & 128 & 128 & 128 & 0.074056 & 0.070350 & 1.0526794598436389
1280 & 128 & 128 & 128 & 0.091072 & 0.070250 & 1.2963985765124555
1408 & 128 & 128 & 128 & 0.074503 & 0.070760 & 1.0528971170152628
1536 & 128 & 128 & 128 & 0.074141 & 0.070410 & 1.0529896321545236
1664 & 128 & 128 & 128 & 0.075508 & 0.070640 & 1.0689127972819934
1792 & 128 & 128 & 128 & 0.074516 & 0.070630 & 1.055019113691066
1920 & 128 & 128 & 128 & 0.079530 & 0.070610 & 1.1263277156210167
2048 & 128 & 128 & 128 & 0.074307 & 0.070590 & 1.05265618359541
2176 & 128 & 128 & 128 & 0.074656 & 0.070680 & 1.0562535370684776
2304 & 128 & 128 & 128 & 0.074488 & 0.071790 & 1.0375818359102937
2432 & 128 & 128 & 128 & 0.074313 & 0.071350 & 1.0415276804484934
2560 & 128 & 128 & 128 & 0.074514 & 0.070820 & 1.052160406664784
2688 & 128 & 128 & 128 & 0.078887 & 0.071000 & 1.1110845070422537
2816 & 128 & 128 & 128 & 0.074739 & 0.071420 & 1.0464715765891908
2944 & 128 & 128 & 128 & 0.074595 & 0.071950 & 1.036761640027797
3072 & 128 & 128 & 128 & 0.074666 & 0.092990 & 0.8029465533928378
3200 & 128 & 128 & 128 & 0.074562 & 0.070780 & 1.0534331732127722
3328 & 128 & 128 & 128 & 0.074332 & 0.070950 & 1.0476673713883016
3456 & 128 & 128 & 128 & 0.074563 & 0.071390 & 1.044446000840454
3584 & 128 & 128 & 128 & 0.074527 & 0.071300 & 1.0452594670406732
3712 & 128 & 128 & 128 & 0.074788 & 0.071340 & 1.048331931595178
3840 & 128 & 128 & 128 & 0.074752 & 0.071630 & 1.0435850900460701
3968 & 128 & 128 & 128 & 0.078033 & 0.072280 & 1.0795932484781408
4096 & 128 & 128 & 128 & 0.075455 & 0.072360 & 1.0427722498618022
4224 & 128 & 128 & 128 & 0.076146 & 0.072650 & 1.048121128699243
4352 & 128 & 128 & 128 & 0.075987 & 0.072510 & 1.0479520066197765
4480 & 128 & 128 & 128 & 0.075674 & 0.075020 & 1.0087176752865903
4608 & 128 & 128 & 128 & 0.076031 & 0.073170 & 1.0391007243405768
4736 & 128 & 128 & 128 & 0.075888 & 0.072890 & 1.041130470572095
4864 & 128 & 128 & 128 & 0.075908 & 0.072610 & 1.0454207409447736
4992 & 128 & 128 & 128 & 0.076500 & 0.072800 & 1.0508241758241756
5120 & 128 & 128 & 128 & 0.076411 & 0.072800 & 1.0496016483516484
5248 & 128 & 128 & 128 & 0.078289 & 0.073720 & 1.0619777536625068
5376 & 128 & 128 & 128 & 0.089723 & 0.074180 & 1.209530870854678
5504 & 128 & 128 & 128 & 0.078599 & 0.074220 & 1.0590002694691458
5632 & 128 & 128 & 128 & 0.078700 & 0.074190 & 1.0607898638630544
5760 & 128 & 128 & 128 & 0.082225 & 0.074150 & 1.1089008766014836
5888 & 128 & 128 & 128 & 0.078589 & 0.074140 & 1.0600080927974105
6016 & 128 & 128 & 128 & 0.078878 & 0.075050 & 1.0510059960026648
6144 & 128 & 128 & 128 & 0.079237 & 0.074720 & 1.0604523554603855
6272 & 128 & 128 & 128 & 0.078720 & 0.074580 & 1.0555108608205954
6400 & 128 & 128 & 128 & 0.079674 & 0.076050 & 1.0476528599605521
6528 & 128 & 128 & 128 & 0.079308 & 0.074620 & 1.0628249798981506
6656 & 128 & 128 & 128 & 0.078989 & 0.075000 & 1.0531866666666667
6784 & 128 & 128 & 128 & 0.078751 & 0.074790 & 1.0529616258858137
6912 & 128 & 128 & 128 & 0.079133 & 0.078100 & 1.013226632522407
7040 & 128 & 128 & 128 & 0.080315 & 0.075440 & 1.0646208907741253
7168 & 128 & 128 & 128 & 0.079733 & 0.075810 & 1.0517477905289538
7296 & 128 & 128 & 128 & 0.079932 & 0.075580 & 1.0575813707329982
7424 & 128 & 128 & 128 & 0.079374 & 0.075340 & 1.053543934165118
7552 & 128 & 128 & 128 & 0.080076 & 0.075710 & 1.0576674151367058
7680 & 128 & 128 & 128 & 0.079495 & 0.076700 & 1.0364406779661015
7808 & 128 & 128 & 128 & 0.079953 & 0.075770 & 1.055206546126435
7936 & 128 & 128 & 128 & 0.079776 & 0.075320 & 1.0591609134360065
8064 & 128 & 128 & 128 & 0.080652 & 0.075540 & 1.0676727561556791
8192 & 128 & 128 & 128 & 0.080082 & 0.075360 & 1.0626592356687898
8320 & 128 & 128 & 128 & 0.079945 & 0.075470 & 1.0592950841393933
8448 & 128 & 128 & 128 & 0.079908 & 0.075760 & 1.054751847940866
8576 & 128 & 128 & 128 & 0.079916 & 0.075480 & 1.0587705352411234
8704 & 128 & 128 & 128 & 0.080987 & 0.076000 & 1.0656184210526316
8832 & 128 & 128 & 128 & 0.080989 & 0.075940 & 1.0664867000263367
8960 & 128 & 128 & 128 & 0.080404 & 0.078190 & 1.0283156413863666
9088 & 128 & 128 & 128 & 0.080778 & 0.077970 & 1.036013851481339
9216 & 128 & 128 & 128 & 0.101329 & 0.076160 & 1.3304753151260504
9344 & 128 & 128 & 128 & 0.081352 & 0.076260 & 1.0667715709415158
9472 & 128 & 128 & 128 & 0.081229 & 0.076410 & 1.0630676613008767
9600 & 128 & 128 & 128 & 0.081240 & 0.077690 & 1.045694426567126
9728 & 128 & 128 & 128 & 0.081420 & 0.077120 & 1.0557572614107886
9856 & 128 & 128 & 128 & 0.081956 & 0.077790 & 1.0535544414449158
9984 & 128 & 128 & 128 & 0.082289 & 0.078030 & 1.0545815711905677
10112 & 128 & 128 & 128 & 0.082428 & 0.110610 & 0.7452129102251153
10240 & 128 & 128 & 128 & 0.083803 & 0.110360 & 0.759360275462124
10368 & 128 & 128 & 128 & 0.136274 & 0.109880 & 1.2402074990899163
10496 & 128 & 128 & 128 & 0.136805 & 0.110470 & 1.2383905132615192
10624 & 128 & 128 & 128 & 0.136082 & 0.110130 & 1.2356487787160628
