Size(MxNxKxL) & Baseline(ms) & Overlapped(ms) & Speedup
128x128x128x128 & 0.076943 & 0.070430 & 1.0924747976714466
384x128x128x128 & 0.074175 & 0.070730 & 1.0487063480842642
640x128x128x128 & 0.075318 & 0.070250 & 1.0721423487544481
896x128x128x128 & 0.074403 & 0.070630 & 1.0534192269573834
1152x128x128x128 & 0.074128 & 0.070190 & 1.0561048582419148
1408x128x128x128 & 0.095571 & 0.070100 & 1.363352353780314
1664x128x128x128 & 0.074380 & 0.070200 & 1.0595441595441595
1920x128x128x128 & 0.075764 & 0.070260 & 1.0783376031881582
2176x128x128x128 & 0.074517 & 0.070470 & 1.057428693060877
2432x128x128x128 & 0.074185 & 0.070920 & 1.0460377890580936
2688x128x128x128 & 0.074396 & 0.070730 & 1.0518309062632547
2944x128x128x128 & 0.074482 & 0.070870 & 1.0509665584873713
3200x128x128x128 & 0.074273 & 0.070940 & 1.0469833662249788
3456x128x128x128 & 0.074532 & 0.071280 & 1.0456228956228957
3712x128x128x128 & 0.074352 & 0.071360 & 1.0419282511210761
3968x128x128x128 & 0.075529 & 0.071930 & 1.0500347560127903
4224x128x128x128 & 0.075815 & 0.072600 & 1.0442837465564738
4480x128x128x128 & 0.075726 & 0.072410 & 1.045794779726557
4736x128x128x128 & 0.084700 & 0.073900 & 1.1461434370771313
4992x128x128x128 & 0.075788 & 0.072850 & 1.0403294440631434
5248x128x128x128 & 0.080628 & 0.073750 & 1.0932610169491526
5504x128x128x128 & 0.079651 & 0.073870 & 1.0782591038310545
5760x128x128x128 & 0.082507 & 0.074300 & 1.110457604306864
6016x128x128x128 & 0.078503 & 0.073900 & 1.0622868741542626
6272x128x128x128 & 0.078596 & 0.074830 & 1.0503274087932648
6528x128x128x128 & 0.098700 & 0.075000 & 1.316
6784x128x128x128 & 0.078902 & 0.075330 & 1.047418027346343
7040x128x128x128 & 0.079710 & 0.128190 & 0.6218113737421016
7296x128x128x128 & 0.079534 & 0.075200 & 1.0576329787234042
7552x128x128x128 & 0.079146 & 0.075190 & 1.0526133794387549
7808x128x128x128 & 0.079958 & 0.075530 & 1.0586257116377598
8064x128x128x128 & 0.079438 & 0.075360 & 1.0541135881104033
8320x128x128x128 & 0.083976 & 0.075240 & 1.116108452950558
8576x128x128x128 & 0.080054 & 0.075400 & 1.0617241379310345
8832x128x128x128 & 0.086199 & 0.076340 & 1.1291459261199894
9088x128x128x128 & 0.083542 & 0.075820 & 1.1018464785017146
9344x128x128x128 & 0.080659 & 0.076080 & 1.0601866456361724
9600x128x128x128 & 0.081744 & 0.077450 & 1.0554422207876049
9856x128x128x128 & 0.081462 & 0.077360 & 1.0530248190279214
10112x128x128x128 & 0.082529 & 0.078370 & 1.0530687763174686
10368x128x128x128 & 0.135076 & 0.110380 & 1.2237361840913208
10624x128x128x128 & 0.137023 & 0.112580 & 1.2171167170012436
10880x128x128x128 & 0.136126 & 0.111110 & 1.2251462514625147
11136x128x128x128 & 0.135925 & 0.111000 & 1.2245495495495495
11392x128x128x128 & 0.135938 & 0.111280 & 1.2215851905104242
