Size(MxNxKxL) & Baseline(ms) & Overlapped(ms) & Speedup
128x128x128x128 & 0.075244 & 0.074030 & 1.0163987572605702
384x128x128x128 & 0.075356 & 0.074580 & 1.0104049342987398
640x128x128x128 & 0.074988 & 0.073720 & 1.017200217037439
896x128x128x128 & 0.074936 & 0.074800 & 1.0018181818181817
1152x128x128x128 & 0.074865 & 0.073820 & 1.0141560552695748
1408x128x128x128 & 0.075121 & 0.073680 & 1.019557546145494
1664x128x128x128 & 0.075192 & 0.075410 & 0.9971091367192678
1920x128x128x128 & 0.076021 & 0.073830 & 1.0296762833536504
2176x128x128x128 & 0.077824 & 0.073830 & 1.0540972504402004
2432x128x128x128 & 0.074936 & 0.073860 & 1.0145681018142432
2688x128x128x128 & 0.075305 & 0.074930 & 1.0050046710262912
2944x128x128x128 & 0.075131 & 0.073960 & 1.0158328826392646
3200x128x128x128 & 0.075254 & 0.074120 & 1.0152995143011332
3456x128x128x128 & 0.078008 & 0.075210 & 1.0372024996675973
3712x128x128x128 & 0.074895 & 0.074220 & 1.00909458367017
3968x128x128x128 & 0.076524 & 0.075200 & 1.0176063829787232
4224x128x128x128 & 0.077220 & 0.075350 & 1.0248175182481751
4480x128x128x128 & 0.077189 & 0.075480 & 1.0226417594064652
4736x128x128x128 & 0.076698 & 0.075770 & 1.0122475913950113
4992x128x128x128 & 0.076728 & 0.075680 & 1.01384778012685
5248x128x128x128 & 0.078254 & 0.077280 & 1.012603519668737
5504x128x128x128 & 0.078172 & 0.077540 & 1.0081506319319062
5760x128x128x128 & 0.078633 & 0.077330 & 1.0168498642182853
6016x128x128x128 & 0.081008 & 0.077900 & 1.0398973042362003
6272x128x128x128 & 0.080844 & 0.077570 & 1.0422070388036613
6528x128x128x128 & 0.081060 & 0.077710 & 1.0431089949813408
6784x128x128x128 & 0.078848 & 0.077620 & 1.0158206647771193
7040x128x128x128 & 0.092365 & 0.087160 & 1.059717760440569
7296x128x128x128 & 0.079852 & 0.077260 & 1.0335490551384936
7552x128x128x128 & 0.078940 & 0.077500 & 1.0185806451612902
7808x128x128x128 & 0.079677 & 0.081870 & 0.9732136313668011
8064x128x128x128 & 0.079493 & 0.078770 & 1.0091786213025262
8320x128x128x128 & 0.080302 & 0.078310 & 1.025437364321287
8576x128x128x128 & 0.085658 & 0.078300 & 1.0939719029374202
8832x128x128x128 & 0.080404 & 0.078430 & 1.0251689404564581
9088x128x128x128 & 0.080896 & 0.078780 & 1.0268596090378268
9344x128x128x128 & 0.080886 & 0.079540 & 1.016922303243651
9600x128x128x128 & 0.081470 & 0.079090 & 1.0300922999114934
9856x128x128x128 & 0.081408 & 0.079540 & 1.023485038974101
10112x128x128x128 & 0.083487 & 0.079650 & 1.0481732580037666
10368x128x128x128 & 0.135444 & 0.107380 & 1.261352207114919
10624x128x128x128 & 0.137124 & 0.110950 & 1.2359080666967102
10880x128x128x128 & 0.136131 & 0.110000 & 1.2375545454545456
11136x128x128x128 & 0.137411 & 0.109640 & 1.2532925939438162
11392x128x128x128 & 0.135690 & 0.112440 & 1.2067769477054429
11648x128x128x128 & 0.136212 & 0.113630 & 1.1987327290328258
11904x128x128x128 & 0.136376 & 0.116950 & 1.166105173150919
12160x128x128x128 & 0.135782 & 0.127200 & 1.0674685534591195
12416x128x128x128 & 0.136336 & 0.122710 & 1.1110422948414964
12672x128x128x128 & 0.138086 & 0.123820 & 1.1152156356000644
12928x128x128x128 & 0.135998 & 0.130620 & 1.0411728678609706
13184x128x128x128 & 0.143933 & 0.137180 & 1.049227292608252
13440x128x128x128 & 0.136632 & 0.128740 & 1.0613018486872767
13696x128x128x128 & 0.136018 & 0.131160 & 1.0370387313205245
13952x128x128x128 & 0.136960 & 0.132190 & 1.0360844239352447
14208x128x128x128 & 0.136038 & 0.130910 & 1.0391719501947903
14464x128x128x128 & 0.136243 & 0.131680 & 1.0346521871202916
14720x128x128x128 & 0.136120 & 0.132210 & 1.0295741623175252
14976x128x128x128 & 0.135977 & 0.131410 & 1.0347538239099001
15232x128x128x128 & 0.136059 & 0.130400 & 1.0433972392638038
15488x128x128x128 & 0.137461 & 0.140800 & 0.9762855113636363
15744x128x128x128 & 0.139131 & 0.143720 & 0.9680698580573338
16000x128x128x128 & 0.138220 & 0.153340 & 0.901395591496022
16256x128x128x128 & 0.138772 & 0.157510 & 0.8810361246904959
16512x128x128x128 & 0.138035 & 0.157170 & 0.8782528472354775
16768x128x128x128 & 0.139131 & 0.176030 & 0.7903823211952509
17024x128x128x128 & 0.138312 & 0.157330 & 0.87912032034577
17280x128x128x128 & 0.139069 & 0.157190 & 0.8847191297156308
17536x128x128x128 & 0.138885 & 0.157280 & 0.8830429806714141
17792x128x128x128 & 0.138926 & 0.156990 & 0.8849353462003949
18048x128x128x128 & 0.139950 & 0.157790 & 0.8869383357627225
18304x128x128x128 & 0.139622 & 0.157260 & 0.8878417906651405
18560x128x128x128 & 0.139776 & 0.159420 & 0.8767783214151299
18816x128x128x128 & 0.140902 & 0.158330 & 0.8899261037074465
19072x128x128x128 & 0.140257 & 0.157960 & 0.8879273233730058
19328x128x128x128 & 0.140134 & 0.157470 & 0.889909189051883
19584x128x128x128 & 0.140298 & 0.157230 & 0.8923106277427971
19840x128x128x128 & 0.140738 & 0.156630 & 0.8985379556917578
20096x128x128x128 & 0.140789 & 0.157380 & 0.894579997458381
20352x128x128x128 & 0.141271 & 0.150550 & 0.9383659913649951
