M & N & K & L & Baseline(ms) & Overlapped(ms) & Speedup
128 & 128 & 128 & 128 & 0.024889 & 0.017000 & 1.4640588235294116
256 & 128 & 128 & 128 & 0.025032 & 0.017060 & 1.4672919109026963
384 & 128 & 128 & 128 & 0.024711 & 0.016790 & 1.4717689100655154
512 & 128 & 128 & 128 & 0.024769 & 0.016660 & 1.486734693877551
640 & 128 & 128 & 128 & 0.024861 & 0.016840 & 1.4763064133016628
768 & 128 & 128 & 128 & 0.025176 & 0.017020 & 1.4792009400705053
896 & 128 & 128 & 128 & 0.024765 & 0.016840 & 1.470605700712589
1024 & 128 & 128 & 128 & 0.024847 & 0.016640 & 1.4932091346153848
1152 & 128 & 128 & 128 & 0.028615 & 0.016960 & 1.6872051886792454
1280 & 128 & 128 & 128 & 0.024868 & 0.017120 & 1.452570093457944
1408 & 128 & 128 & 128 & 0.024752 & 0.016580 & 1.4928829915560915
1536 & 128 & 128 & 128 & 0.025043 & 0.022490 & 1.1135171187194308
1664 & 128 & 128 & 128 & 0.024958 & 0.016910 & 1.4759314015375518
1792 & 128 & 128 & 128 & 0.024861 & 0.016650 & 1.493153153153153
1920 & 128 & 128 & 128 & 0.024850 & 0.016930 & 1.4678086237448316
2048 & 128 & 128 & 128 & 0.024955 & 0.016690 & 1.495206710605153
2176 & 128 & 128 & 128 & 0.024809 & 0.016800 & 1.4767261904761906
2304 & 128 & 128 & 128 & 0.024987 & 0.016620 & 1.5034296028880867
2432 & 128 & 128 & 128 & 0.025036 & 0.016850 & 1.4858160237388722
2560 & 128 & 128 & 128 & 0.024909 & 0.016610 & 1.4996387718242024
2688 & 128 & 128 & 128 & 0.024772 & 0.016880 & 1.4675355450236967
2816 & 128 & 128 & 128 & 0.024980 & 0.016520 & 1.5121065375302662
2944 & 128 & 128 & 128 & 0.025036 & 0.017280 & 1.4488425925925925
3072 & 128 & 128 & 128 & 0.024780 & 0.016850 & 1.4706231454005934
3200 & 128 & 128 & 128 & 0.025388 & 0.016740 & 1.5166069295101552
3328 & 128 & 128 & 128 & 0.025411 & 0.017270 & 1.4713954834973944
3456 & 128 & 128 & 128 & 0.024860 & 0.016750 & 1.4841791044776118
3584 & 128 & 128 & 128 & 0.025023 & 0.017130 & 1.46077057793345
3712 & 128 & 128 & 128 & 0.025127 & 0.016900 & 1.4868047337278107
3840 & 128 & 128 & 128 & 0.025435 & 0.017250 & 1.4744927536231882
3968 & 128 & 128 & 128 & 0.025117 & 0.016980 & 1.4792108362779743
4096 & 128 & 128 & 128 & 0.025676 & 0.017080 & 1.5032786885245901
4224 & 128 & 128 & 128 & 0.048136 & 0.017100 & 2.814970760233918
4352 & 128 & 128 & 128 & 0.025118 & 0.016640 & 1.5094951923076925
4480 & 128 & 128 & 128 & 0.025214 & 0.017560 & 1.4358769931662871
4608 & 128 & 128 & 128 & 0.025361 & 0.016860 & 1.5042111506524318
4736 & 128 & 128 & 128 & 0.025538 & 0.016960 & 1.5057783018867925
4864 & 128 & 128 & 128 & 0.025307 & 0.016850 & 1.501899109792285
4992 & 128 & 128 & 128 & 0.025335 & 0.017220 & 1.471254355400697
5120 & 128 & 128 & 128 & 0.025349 & 0.017080 & 1.4841334894613583
5248 & 128 & 128 & 128 & 0.026037 & 0.020650 & 1.2608716707021792
5376 & 128 & 128 & 128 & 0.025819 & 0.020980 & 1.2306482364156341
5504 & 128 & 128 & 128 & 0.025983 & 0.021050 & 1.2343467933491687
5632 & 128 & 128 & 128 & 0.025949 & 0.020940 & 1.239207258834766
5760 & 128 & 128 & 128 & 0.025813 & 0.020760 & 1.2434007707129093
5888 & 128 & 128 & 128 & 0.026166 & 0.020970 & 1.2477825464949928
6016 & 128 & 128 & 128 & 0.026109 & 0.021100 & 1.23739336492891
6144 & 128 & 128 & 128 & 0.025958 & 0.021090 & 1.2308202939781885
6272 & 128 & 128 & 128 & 0.026148 & 0.020890 & 1.2516993776926761
6400 & 128 & 128 & 128 & 0.026037 & 0.021470 & 1.212715416860736
6528 & 128 & 128 & 128 & 0.026377 & 0.020960 & 1.2584446564885496
6656 & 128 & 128 & 128 & 0.026386 & 0.021480 & 1.2283985102420858
6784 & 128 & 128 & 128 & 0.047157 & 0.021050 & 2.2402375296912114
6912 & 128 & 128 & 128 & 0.026212 & 0.021100 & 1.2422748815165876
7040 & 128 & 128 & 128 & 0.026200 & 0.021170 & 1.2376003778932452
7168 & 128 & 128 & 128 & 0.026360 & 0.021060 & 1.251661918328585
7296 & 128 & 128 & 128 & 0.026253 & 0.021360 & 1.229073033707865
7424 & 128 & 128 & 128 & 0.030394 & 0.021250 & 1.430305882352941
7552 & 128 & 128 & 128 & 0.026392 & 0.021440 & 1.2309701492537313
7680 & 128 & 128 & 128 & 0.026713 & 0.021510 & 1.2418874941887494
7808 & 128 & 128 & 128 & 0.026480 & 0.021750 & 1.2174712643678163
7936 & 128 & 128 & 128 & 0.026801 & 0.022430 & 1.194872938029425
8064 & 128 & 128 & 128 & 0.027824 & 0.022400 & 1.2421428571428572
8192 & 128 & 128 & 128 & 0.027537 & 0.022330 & 1.2331840573219883
8320 & 128 & 128 & 128 & 0.028265 & 0.025380 & 1.113672182821119
8448 & 128 & 128 & 128 & 0.028663 & 0.022910 & 1.251113051069402
8576 & 128 & 128 & 128 & 0.028363 & 0.023310 & 1.2167739167739167
8704 & 128 & 128 & 128 & 0.031293 & 0.023390 & 1.3378794356562633
8832 & 128 & 128 & 128 & 0.029560 & 0.025250 & 1.1706930693069306
8960 & 128 & 128 & 128 & 0.028908 & 0.023420 & 1.234329632792485
9088 & 128 & 128 & 128 & 0.029535 & 0.031170 & 0.9475457170356111
9216 & 128 & 128 & 128 & 0.029176 & 0.023870 & 1.2222873900293256
9344 & 128 & 128 & 128 & 0.029360 & 0.024480 & 1.1993464052287583
9472 & 128 & 128 & 128 & 0.029300 & 0.023980 & 1.2218515429524603
9600 & 128 & 128 & 128 & 0.029881 & 0.024370 & 1.226138695116947
9728 & 128 & 128 & 128 & 0.030087 & 0.024710 & 1.217604208822339
9856 & 128 & 128 & 128 & 0.029738 & 0.024810 & 1.1986295848448207
9984 & 128 & 128 & 128 & 0.029676 & 0.024820 & 1.195648670427075
10112 & 128 & 128 & 128 & 0.030357 & 0.025100 & 1.2094422310756971
10240 & 128 & 128 & 128 & 0.029922 & 0.025350 & 1.1803550295857987
10368 & 128 & 128 & 128 & 0.038205 & 0.029130 & 1.3115345005149333
10496 & 128 & 128 & 128 & 0.038702 & 0.030020 & 1.2892071952031978
10624 & 128 & 128 & 128 & 0.038859 & 0.029420 & 1.3208361658735552
10752 & 128 & 128 & 128 & 0.038697 & 0.029550 & 1.3095431472081218
10880 & 128 & 128 & 128 & 0.038705 & 0.029430 & 1.3151546041454298
11008 & 128 & 128 & 128 & 0.038945 & 0.029410 & 1.3242094525671542
11136 & 128 & 128 & 128 & 0.038918 & 0.029630 & 1.3134660816739792
11264 & 128 & 128 & 128 & 0.038886 & 0.029980 & 1.2970647098065375
